"ID","City","Type","Make","Model","Year","Color","Trim","CreatedAt","Days","Trips","T/D","$day","Busy30","Gross30","Gross365","Plan","Favs","Reviews","StarHost","URL","Features","Avg Market $*","Depreciation Y1*","Insurance Y*","Maintenance Y*","Avg Repairs Y*"
"2125695","Montréal, QC","CAR","Hyundai","Elantra","2015","","Limited","7/14/2023","35","1","0.03","102","0","0","0","Turo Standard","1","0","false","https://turo.com/ca/en/car-rental/canada/montreal-qc/hyundai/elantra/2125695","Backup camera, Bluetooth, GPS, Heated seats, Keyless entry, Sunroof, USB charger, USB input","11320","1790","1871","1541","1033"
"2122728","Laval, QC","CAR","Hyundai","Elantra","2018","","GL","7/12/2023","37","0","0.00","102","0","0","0","Turo Standard","2","0","false","https://turo.com/ca/en/car-rental/canada/laval-qc/hyundai/elantra/2122728","All-wheel drive, Android Auto, Backup camera, Blind spot warning, Bluetooth, Child seat, Heated seats, Snow tires or chains, Toll pass, USB charger, USB input","14997","1822","1986","1253","773"
"2032715","Montréal, QC","CAR","Hyundai","Elantra","2013","","GLS","5/15/2023","95","5","0.05","98","2","132","220","Turo Standard","25","0","false","https://turo.com/ca/en/car-rental/canada/montreal-qc/hyundai/elantra/2032715","Bluetooth, Heated seats, Snow tires or chains, Sunroof, USB charger","8680","1566","1774","1543","1033"
"2171956","Laval, QC","CAR","Hyundai","Elantra","2018","","GLS","8/12/2023","6","0","0.00","112","0","0","0","Turo Standard","0","0","false","https://turo.com/ca/en/car-rental/canada/laval-qc/hyundai/elantra/2171956","Android Auto, AUX input, Backup camera, Blind spot warning, Bluetooth, Heated seats, Keyless entry, Snow tires or chains, Sunroof, USB charger, USB input","14997","1822","1986","1253","773"
"2173252","Montréal, QC","CAR","Hyundai","Elantra N","2023","","Base","8/13/2023","5","0","0.00","133","4","442","442","Turo Standard","0","0","false","https://turo.com/ca/en/car-rental/canada/montreal-qc/hyundai/elantra-n/2173252","Android Auto, Apple CarPlay, AUX input, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Keyless entry, Snow tires or chains, Sunroof, USB charger, USB input","34705","","","",""
"2142596","Montréal, QC","SUV","Buick","Encore","2015","GOLD","Leather","7/25/2023","24","0","0.00","107","0","0","0","Turo Standard","5","0","false","https://turo.com/ca/en/suv-rental/canada/montreal-qc/buick/encore/2142596","All-wheel drive, AUX input, Backup camera, Bike rack, Blind spot warning, Bluetooth, GPS, Heated seats, Keyless entry, Pet friendly, USB charger, USB input","12451","1703","1858","1512","1030"
"2172735","Montreal, QC","SUV","Buick","Encore","2019","","Preferred","8/13/2023","5","0","0.00","105","0","0","0","Turo Standard","0","0","false","https://turo.com/ca/en/suv-rental/canada/montreal-qc/buick/encore/2172735","Android Auto, Apple CarPlay, AUX input, Backup camera, Bluetooth, Keyless entry, USB input","18635","1973","2049","1180","684"
"1688467","Montréal, QC","SUV","Buick","Encore GX","2022","WHITE","Select","9/5/2022","347","10","0.03","117","20","1948","11724","Turo Standard","18","10","false","https://turo.com/ca/en/suv-rental/canada/montreal-qc/buick/encore-gx/1688467","All-wheel drive, Android Auto, Apple CarPlay, AUX input, Backup camera, Bluetooth, GPS, Heated seats, Keyless entry, Snow tires or chains, USB charger, USB input","26999","2533","1451","2164","1033"
"2053327","Montréal, QC","SUV","Chevrolet","Equinox","2018","BLACK","LS","5/29/2023","81","9","0.11","124","23","2990","5190","Turo Standard","42","6","true","https://turo.com/ca/en/suv-rental/canada/montreal-qc/chevrolet/equinox/2053327","Long-term car","17385","2093","2018","1329","807"
"2032818","Laval, QC","SUV","Chevrolet","Equinox","2018","GRAY","","5/15/2023","95","7","0.07","100","7","700","1620","Turo Standard","24","6","false","https://turo.com/ca/en/suv-rental/canada/laval-qc/chevrolet/equinox/2032818","All-wheel drive, Android Auto, AUX input, Backup camera, Blind spot warning, Bluetooth, Heated seats, Keyless entry, Sunroof, USB charger, USB input","20248","2281","2037","1372","826"
"1473273","Montréal, QC","CAR","Lexus","ES","2013","","ES 350","5/3/2022","472","14","0.03","142","0","0","4059","Turo Standard","16","12","false","https://turo.com/ca/en/car-rental/canada/montreal-qc/lexus/es/1473273","Long-term car","15984","2156","1851","1672","1033"
"2003832","Montréal, QC","CAR","Lexus","ES","2013","SILVER","ES 350","4/26/2023","114","18","0.16","92","17","1521","5103","Turo Standard","64","15","true","https://turo.com/ca/en/car-rental/canada/montreal-qc/lexus/es/2003832","AUX input, Bluetooth, Child seat, Heated seats, Keyless entry, Long-term car, Pet friendly, Snow tires or chains, Sunroof, USB charger, USB input","15984","2156","1851","1672","1033"
"1606700","Longueuil, QC","SUV","Cadillac","Escalade","2018","","Luxury","7/19/2022","395","2","0.01","350","0","0","0","Turo Standard","48","2","false","https://turo.com/ca/en/suv-rental/canada/longueuil-qc/cadillac/escalade/1606700","All-wheel drive, AUX input, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Snow tires or chains, Sunroof, USB charger, USB input","40007","4609","2173","1694","969"
"2000636","Montreal, QC","SUV","Cadillac","Escalade","2023","","4WD Luxury","4/24/2023","116","2","0.02","550","9","3582","6792","Turo Standard","26","2","false","https://turo.com/ca/en/suv-rental/canada/montreal-qc/cadillac/escalade/2000636","All-wheel drive, Android Auto, Apple CarPlay, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Keyless entry, Snow tires or chains, USB charger, USB input","86568","5503","2537","1124","341"
"1114188","Montréal, QC","SUV","Ford","Escape","2013","","SE","8/4/2021","744","138","0.19","107","15","1604","12018","Turo Standard","176","97","false","https://turo.com/ca/en/suv-rental/canada/montreal-qc/ford/escape/1114188","Bluetooth, Heated seats, Long-term car, USB charger","9217","1504","1762","1524","1033"
"2060245","Montréal, QC","SUV","Ford","Escape","2014","BLACK","Titanium","6/2/2023","77","25","0.32","118","13","1639","2702","Turo Standard","30","21","true","https://turo.com/ca/en/suv-rental/canada/montreal-qc/ford/escape/2060245","AUX input, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Keyless entry, Long-term car, Snow tires or chains, Sunroof, USB charger, USB input","12062","1786","1838","1572","1033"
"1530517","Laval, QC","SUV","Ford","Escape","2011","RED","Limited","6/6/2022","438","62","0.14","81","25","2164","14176","Turo Standard","90","54","true","https://turo.com/ca/en/suv-rental/canada/laval-qc/ford/escape/1530517","All-wheel drive, AUX input, Backup camera, Bluetooth, Heated seats, Keyless entry, Long-term car, Snow tires or chains, Sunroof, USB charger, USB input","7376","1489","1703","1571","1033"
"1877150","Montréal, QC","SUV","Ford","Escape","2022","WHITE","SE","1/25/2023","205","7","0.03","127","23","2047","7956","Turo Standard","23","6","false","https://turo.com/ca/en/suv-rental/canada/montreal-qc/ford/escape/1877150","All-wheel drive, Android Auto, Apple CarPlay, Backup camera, Blind spot warning, Bluetooth, Heated seats, USB charger, USB input","27649","2735","1451","2164","1033"
"2143791","Montreal, QC","SUV","Ford","Expedition","2022","","Limited Max","7/25/2023","24","1","0.04","275","8","2095","2095","Turo Standard","7","0","false","https://turo.com/ca/en/suv-rental/canada/montreal-qc/ford/expedition/2143791","All-wheel drive, Android Auto, Apple CarPlay, AUX input, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Keyless entry, Pet friendly, Snow tires or chains, Sunroof, USB charger, USB input","63723","5503","2472","1244","467"
